customer_id,first_name,last_name,email,city,country,registration_date,customer_segment
43,Ben,Schwarz,ben.schwarz43@example.com,Duisburg,Germany,2025-12-22,Standard
44,Anna,Braun,anna.braun44@example.com,Leipzig,Germany,2024-10-25,Business
45,Anna,Fischer,anna.fischer45@example.com,Duisburg,Germany,2025-01-13,Standard
46,Lukas,Becker,lukas.becker46@example.com,Cologne,Germany,2023-04-29,Premium
47,Sarah,Schneider,sarah.schneider47@example.com,Dresden,Germany,2023-06-25,Standard
48,Tim,Schneider,tim.schneider48@example.com,Hanover,Germany,2025-12-26,Standard
49,Mia,Weber,mia.weber49@example.com,Dortmund,Germany,2025-08-31,Standard
50,Ben,Schulz,ben.schulz50@example.com,Nuremberg,Germany,2025-12-16,Standard
51,Niklas,Klein,niklas.klein51@example.com,Duisburg,Germany,2024-03-09,Business
52,Finn,Wagner,finn.wagner52@example.com,Duesseldorf,Germany,2024-09-30,Premium
53,David,Bauer,david.bauer53@example.com,Duisburg,Germany,2025-06-16,Business
54,Julia,Wolf,julia.wolf54@example.com,Cologne,Germany,2023-09-05,Premium
55,Leon,Schneider,leon.schneider55@example.com,Berlin,Germany,2024-11-23,Standard
56,Sarah,Schwarz,sarah.schwarz56@example.com,Essen,Germany,2024-04-16,Business
57,Leon,Mueller,leon.mueller57@example.com,Dresden,Germany,2023-05-26,Standard
58,Lea,Schmidt,lea.schmidt58@example.com,Hamburg,Germany,2024-04-13,Standard
59,Max,Koch,max.koch59@example.com,Dortmund,Germany,2023-05-26,Standard
60,Leon,Schulz,leon.schulz60@example.com,Cologne,Germany,2025-09-21,Standard
61,Finn,Weber,finn.weber61@example.com,Cologne,Germany,2025-08-26,Standard
62,Tim,Klein,tim.klein62@example.com,Hamburg,Germany,2024-01-25,Standard
63,Paul,Klein,paul.klein63@example.com,Duesseldorf,Germany,2024-12-26,Premium
64,Jonas,Wolf,jonas.wolf64@example.com,Bremen,Germany,2023-04-21,Standard
65,Lea,Fischer,lea.fischer65@example.com,Duesseldorf,Germany,2023-05-05,Standard
66,Tom,Koch,tom.koch66@example.com,Cologne,Germany,2023-08-12,Standard
67,Emma,Wagner,emma.wagner67@example.com,Munich,Germany,2025-07-07,Standard
68,Jonas,Meyer,jonas.meyer68@example.com,Leipzig,Germany,2024-07-24,Premium
69,Leon,Schneider,leon.schneider69@example.com,Hanover,Germany,2025-06-26,Standard
70,Finn,Fischer,finn.fischer70@example.com,Bremen,Germany,2023-04-14,Business
71,Finn,Mueller,finn.mueller71@example.com,Duisburg,Germany,2023-07-11,Premium
72,Clara,Becker,clara.becker72@example.com,Duesseldorf,Germany,2023-12-07,Standard
73,Tim,Schroeder,tim.schroeder73@example.com,Nuremberg,Germany,2024-03-13,Standard
74,Laura,Schmidt,laura.schmidt74@example.com,Duesseldorf,Germany,2023-12-04,Premium
75,Anna,Richter,anna.richter75@example.com,Duisburg,Germany,2024-06-27,Premium
76,Marie,Hoffmann,marie.hoffmann76@example.com,Dresden,Germany,2025-05-16,Premium
77,Tom,Schwarz,tom.schwarz77@example.com,Munich,Germany,2025-09-23,Premium
78,Emma,Hoffmann,emma.hoffmann78@example.com,Berlin,Germany,2024-03-21,Standard
79,Sarah,Schwarz,sarah.schwarz79@example.com,Dresden,Germany,2023-05-05,Standard
80,Sophie,Schmidt,sophie.schmidt80@example.com,Essen,Germany,2023-04-13,Standard
81,Tim,Neumann,tim.neumann81@example.com,Munich,Germany,2025-12-23,Premium
82,Max,Neumann,max.neumann82@example.com,Nuremberg,Germany,2023-06-14,Standard
83,Ben,Schneider,ben.schneider83@example.com,Bremen,Germany,2023-05-20,Standard
84,Leon,Richter,leon.richter84@example.com,Duisburg,Germany,2023-09-03,Standard
85,Sarah,Becker,sarah.becker85@example.com,Essen,Germany,2023-03-23,Standard
86,Lena,Klein,lena.klein86@example.com,Stuttgart,Germany,2025-12-06,Standard
87,Hannah,Wagner,hannah.wagner87@example.com,Cologne,Germany,2024-10-05,Premium
88,Hannah,Richter,hannah.richter88@example.com,Bremen,Germany,2023-09-26,Standard
89,Lea,Hoffmann,lea.hoffmann89@example.com,Stuttgart,Germany,2025-07-25,Premium
90,Clara,Schneider,clara.schneider90@example.com,Leipzig,Germany,2023-01-20,Standard
91,Niklas,Zimmermann,niklas.zimmermann91@example.com,Hamburg,Germany,2023-07-24,Standard
92,Finn,Wagner,finn.wagner92@example.com,Frankfurt,Germany,2025-11-02,Premium
93,Mia,Bauer,mia.bauer93@example.com,Duisburg,Germany,2023-05-21,Premium
94,Leon,Bauer,leon.bauer94@example.com,Munich,Germany,2024-08-06,Standard
95,Marie,Schwarz,marie.schwarz95@example.com,Essen,Germany,2024-09-11,Premium
96,Lea,Neumann,lea.neumann96@example.com,Bremen,Germany,2023-01-17,Standard
97,Finn,Hoffmann,finn.hoffmann97@example.com,Duisburg,Germany,2023-08-01,Standard
98,Mia,Schulz,mia.schulz98@example.com,Duisburg,Germany,2023-08-25,Standard
99,Paul,Schwarz,paul.schwarz99@example.com,Frankfurt,Germany,2023-11-15,Standard
100,Lukas,Braun,lukas.braun100@example.com,Dresden,Germany,2024-03-07,Standard
101,Sophie,Wagner,sophie.wagner101@example.com,Dortmund,Germany,2024-06-24,Standard
102,Tim,Schulz,tim.schulz102@example.com,Hamburg,Germany,2023-04-15,Standard
103,Lea,Klein,lea.klein103@example.com,Berlin,Germany,2024-07-20,Standard
104,Anna,Koch,anna.koch104@example.com,Bremen,Germany,2023-09-25,Standard
105,Hannah,Meyer,hannah.meyer105@example.com,Dortmund,Germany,2025-06-23,Business
106,Nina,Klein,nina.klein106@example.com,Hamburg,Germany,2023-01-20,Standard
107,Lena,Weber,lena.weber107@example.com,Nuremberg,Germany,2023-03-15,Standard
108,Felix,Zimmermann,felix.zimmermann108@example.com,Duesseldorf,Germany,2023-10-31,Premium
109,Mia,Schmidt,mia.schmidt109@example.com,Stuttgart,Germany,2024-09-23,Standard
110,Max,Bauer,max.bauer110@example.com,Bremen,Germany,2024-03-06,Standard
111,Leon,Fischer,leon.fischer111@example.com,Hanover,Germany,2024-12-25,Standard
112,Finn,Klein,finn.klein112@example.com,Duisburg,Germany,2023-11-13,Standard
113,Leon,Meyer,leon.meyer113@example.com,Duisburg,Germany,2023-12-29,Business
114,Jonas,Mueller,jonas.mueller114@example.com,Dresden,Germany,2024-01-03,Premium
115,Sophie,Klein,sophie.klein115@example.com,Frankfurt,Germany,2024-05-23,Standard
116,Ben,Fischer,ben.fischer116@example.com,Nuremberg,Germany,2025-02-22,Premium
117,Max,Schroeder,max.schroeder117@example.com,Cologne,Germany,2024-03-31,Premium
118,Marie,Bauer,marie.bauer118@example.com,Nuremberg,Germany,2024-09-17,Standard
119,Leon,Becker,leon.becker119@example.com,Bremen,Germany,2023-02-18,Premium
120,Emma,Richter,emma.richter120@example.com,Frankfurt,Germany,2024-11-03,Standard
121,Lena,Schulz,lena.schulz121@example.com,Bremen,Germany,2024-12-20,Premium
122,Julia,Richter,julia.richter122@example.com,Berlin,Germany,2024-11-09,Premium
123,Paul,Schulz,paul.schulz123@example.com,Essen,Germany,2024-01-01,Standard
124,Hannah,Schmidt,hannah.schmidt124@example.com,Essen,Germany,2023-08-11,Standard
125,Jonas,Bauer,jonas.bauer125@example.com,Duesseldorf,Germany,2024-10-04,Standard
126,Niklas,Neumann,niklas.neumann126@example.com,Duesseldorf,Germany,2023-08-25,Standard
127,Sarah,Wagner,sarah.wagner127@example.com,Berlin,Germany,2024-06-05,Premium
128,Nina,Klein,nina.klein128@example.com,Dortmund,Germany,2023-01-04,Premium
129,Finn,Wagner,finn.wagner129@example.com,Duesseldorf,Germany,2025-01-15,Standard
130,Lena,Koch,lena.koch130@example.com,Bremen,Germany,2024-10-04,Standard
131,Paul,Hoffmann,paul.hoffmann131@example.com,Frankfurt,Germany,2025-11-04,Standard
132,David,Klein,david.klein132@example.com,Duesseldorf,Germany,2024-10-30,Standard
133,Nina,Hoffmann,nina.hoffmann133@example.com,Cologne,Germany,2023-09-18,Standard
134,Jonas,Richter,jonas.richter134@example.com,Essen,Germany,2023-12-23,Standard
135,Sarah,Hoffmann,sarah.hoffmann135@example.com,Dortmund,Germany,2025-04-11,Business
136,Anna,Hoffmann,anna.hoffmann136@example.com,Cologne,Germany,2024-08-10,Standard
137,Jonas,Zimmermann,jonas.zimmermann137@example.com,Leipzig,Germany,2024-10-21,Standard
138,Marie,Wolf,marie.wolf138@example.com,Dortmund,Germany,2024-03-13,Premium
139,Tim,Meyer,tim.meyer139@example.com,Frankfurt,Germany,2023-06-23,Standard
140,Julia,Braun,julia.braun140@example.com,Hamburg,Germany,2024-11-17,Business
141,Clara,Becker,clara.becker141@example.com,Cologne,Germany,2024-09-27,Business
142,Emma,Weber,emma.weber142@example.com,Berlin,Germany,2023-02-20,Standard
143,Leon,Schroeder,leon.schroeder143@example.com,Leipzig,Germany,2023-05-30,Standard
144,Jonas,Zimmermann,jonas.zimmermann144@example.com,Dresden,Germany,2024-02-03,Standard
145,Nina,Richter,nina.richter145@example.com,Duesseldorf,Germany,2025-10-09,Standard
146,Leon,Weber,leon.weber146@example.com,Duisburg,Germany,2023-01-12,Standard
147,Clara,Fischer,clara.fischer147@example.com,Cologne,Germany,2025-05-20,Standard
148,Ben,Neumann,ben.neumann148@example.com,Berlin,Germany,2025-08-09,Standard
149,Finn,Becker,finn.becker149@example.com,Leipzig,Germany,2023-09-06,Standard
150,Mia,Wolf,mia.wolf150@example.com,Dortmund,Germany,2025-12-23,Standard
151,Niklas,Koch,niklas.koch151@example.com,Essen,Germany,2025-06-25,Business
152,Tom,Neumann,tom.neumann152@example.com,Nuremberg,Germany,2025-05-23,Standard
153,Finn,Wolf,finn.wolf153@example.com,Dresden,Germany,2023-11-22,Standard
154,Tim,Wolf,tim.wolf154@example.com,Hanover,Germany,2024-06-14,Standard
155,Leon,Schulz,leon.schulz155@example.com,Leipzig,Germany,2025-12-03,Business
156,Lea,Becker,lea.becker156@example.com,Leipzig,Germany,2024-07-16,Standard
157,Lena,Hoffmann,lena.hoffmann157@example.com,Frankfurt,Germany,2024-04-25,Premium
158,Sophie,Koch,sophie.koch158@example.com,Munich,Germany,2023-06-15,Premium
159,Mia,Becker,mia.becker159@example.com,Dresden,Germany,2025-02-23,Standard
160,Mia,Wagner,mia.wagner160@example.com,Duesseldorf,Germany,2023-05-12,Premium
161,Jonas,Koch,jonas.koch161@example.com,Duesseldorf,Germany,2025-08-12,Standard
162,Max,Wagner,max.wagner162@example.com,Duesseldorf,Germany,2025-05-10,Standard
163,Clara,Zimmermann,clara.zimmermann163@example.com,Nuremberg,Germany,2023-02-10,Standard
164,Clara,Zimmermann,clara.zimmermann164@example.com,Leipzig,Germany,2025-02-18,Standard
165,Anna,Bauer,anna.bauer165@example.com,Hanover,Germany,2024-09-03,Standard
166,Laura,Klein,laura.klein166@example.com,Leipzig,Germany,2024-03-27,Premium
167,Leon,Schulz,leon.schulz167@example.com,Leipzig,Germany,2025-06-11,Standard
168,Anna,Richter,anna.richter168@example.com,Bremen,Germany,2024-11-19,Standard
169,David,Richter,david.richter169@example.com,Nuremberg,Germany,2023-12-05,Standard
170,Marie,Weber,marie.weber170@example.com,Berlin,Germany,2025-12-29,Standard
171,Laura,Zimmermann,laura.zimmermann171@example.com,Hamburg,Germany,2023-02-25,Premium
172,Lea,Klein,lea.klein172@example.com,Nuremberg,Germany,2023-10-05,Standard
173,Marie,Meyer,marie.meyer173@example.com,Frankfurt,Germany,2023-04-13,Standard
174,Laura,Koch,laura.koch174@example.com,Leipzig,Germany,2024-03-09,Standard
175,Sophie,Koch,sophie.koch175@example.com,Frankfurt,Germany,2025-02-15,Standard
176,Clara,Klein,clara.klein176@example.com,Nuremberg,Germany,2024-05-31,Standard
177,Lena,Schroeder,lena.schroeder177@example.com,Dresden,Germany,2023-02-09,Premium
178,Finn,Schmidt,finn.schmidt178@example.com,Cologne,Germany,2024-12-17,Standard
179,Lea,Schneider,lea.schneider179@example.com,Hanover,Germany,2023-03-24,Business
180,Anna,Becker,anna.becker180@example.com,Nuremberg,Germany,2024-02-13,Standard
181,Anna,Braun,anna.braun181@example.com,Cologne,Germany,2023-11-09,Standard
182,Mia,Schroeder,mia.schroeder182@example.com,Essen,Germany,2023-08-23,Standard
183,Emma,Wolf,emma.wolf183@example.com,Hanover,Germany,2024-06-08,Business
184,Felix,Meyer,felix.meyer184@example.com,Hanover,Germany,2023-08-23,Premium
185,Ben,Hoffmann,ben.hoffmann185@example.com,Essen,Germany,2023-08-10,Standard
186,Anna,Hoffmann,anna.hoffmann186@example.com,Duesseldorf,Germany,2025-02-07,Premium
187,Nina,Wagner,nina.wagner187@example.com,Essen,Germany,2023-06-05,Premium
188,Nina,Becker,nina.becker188@example.com,Dresden,Germany,2023-07-28,Standard
189,Clara,Hoffmann,clara.hoffmann189@example.com,Hanover,Germany,2023-09-05,Standard
190,Sarah,Schmidt,sarah.schmidt190@example.com,Dortmund,Germany,2024-12-12,Standard
191,Jonas,Bauer,jonas.bauer191@example.com,Dortmund,Germany,2023-05-22,Standard
192,Lea,Koch,lea.koch192@example.com,Nuremberg,Germany,2023-01-26,Premium
193,Jonas,Schroeder,jonas.schroeder193@example.com,Duesseldorf,Germany,2023-08-05,Business
194,Felix,Wolf,felix.wolf194@example.com,Duesseldorf,Germany,2023-11-10,Standard
195,Ben,Neumann,ben.neumann195@example.com,Essen,Germany,2024-07-07,Standard
196,Finn,Schroeder,finn.schroeder196@example.com,Duesseldorf,Germany,2025-08-10,Standard
197,Tom,Zimmermann,tom.zimmermann197@example.com,Stuttgart,Germany,2024-07-03,Premium
198,Leon,Schneider,leon.schneider198@example.com,Duisburg,Germany,2024-07-25,Premium
199,Marie,Becker,marie.becker199@example.com,Essen,Germany,2025-08-09,Premium
200,Niklas,Richter,niklas.richter200@example.com,Berlin,Germany,2024-11-19,Premium
201,Tim,Koch,tim.koch201@example.com,Leipzig,Germany,2024-01-08,Standard
202,Emma,Bauer,emma.bauer202@example.com,Stuttgart,Germany,2024-06-13,Standard
203,Hannah,Braun,hannah.braun203@example.com,Dortmund,Germany,2024-07-19,Standard
204,Anna,Neumann,anna.neumann204@example.com,Hamburg,Germany,2024-01-27,Premium
205,Leon,Klein,leon.klein205@example.com,Dortmund,Germany,2025-09-27,Standard
206,Clara,Becker,clara.becker206@example.com,Bremen,Germany,2025-09-02,Standard
207,Nina,Schroeder,nina.schroeder207@example.com,Hanover,Germany,2025-07-06,Standard
208,Anna,Schneider,anna.schneider208@example.com,Cologne,Germany,2024-08-25,Premium
209,Laura,Becker,laura.becker209@example.com,Bremen,Germany,2024-09-19,Standard
210,Sarah,Bauer,sarah.bauer210@example.com,Dortmund,Germany,2025-08-27,Standard
211,Julia,Bauer,julia.bauer211@example.com,Dresden,Germany,2025-05-21,Standard
212,Finn,Koch,finn.koch212@example.com,Dresden,Germany,2024-12-21,Premium
213,Marie,Schulz,marie.schulz213@example.com,Frankfurt,Germany,2024-09-19,Premium
214,Leon,Fischer,leon.fischer214@example.com,Stuttgart,Germany,2024-01-30,Standard
215,Paul,Schwarz,paul.schwarz215@example.com,Cologne,Germany,2024-01-15,Premium
216,Emma,Schroeder,emma.schroeder216@example.com,Dresden,Germany,2024-07-20,Standard
217,Sarah,Neumann,sarah.neumann217@example.com,Hamburg,Germany,2024-08-02,Standard
218,Emma,Hoffmann,emma.hoffmann218@example.com,Stuttgart,Germany,2024-04-10,Premium
219,Ben,Hoffmann,ben.hoffmann219@example.com,Dresden,Germany,2023-01-29,Standard
220,Finn,Weber,finn.weber220@example.com,Berlin,Germany,2024-07-15,Premium
221,Max,Schwarz,max.schwarz221@example.com,Dresden,Germany,2024-08-21,Premium
222,Mia,Schroeder,mia.schroeder222@example.com,Nuremberg,Germany,2023-07-30,Standard
223,Anna,Zimmermann,anna.zimmermann223@example.com,Leipzig,Germany,2024-08-05,Standard
224,Tim,Wolf,tim.wolf224@example.com,Munich,Germany,2024-11-28,Standard
225,Max,Schulz,max.schulz225@example.com,Hamburg,Germany,2025-09-05,Standard
226,Lena,Richter,lena.richter226@example.com,Hamburg,Germany,2025-10-04,Standard
227,Sarah,Schmidt,sarah.schmidt227@example.com,Munich,Germany,2023-11-07,Business
228,Sarah,Hoffmann,sarah.hoffmann228@example.com,Cologne,Germany,2023-06-24,Standard
229,Paul,Schwarz,paul.schwarz229@example.com,Essen,Germany,2025-05-02,Premium
230,Niklas,Braun,niklas.braun230@example.com,Hanover,Germany,2024-04-07,Standard
231,Julia,Richter,julia.richter231@example.com,Duisburg,Germany,2025-07-11,Premium
232,Marie,Hoffmann,marie.hoffmann232@example.com,Frankfurt,Germany,2025-05-28,Standard
233,Sarah,Braun,sarah.braun233@example.com,Essen,Germany,2023-05-04,Standard
234,Tom,Fischer,tom.fischer234@example.com,Bremen,Germany,2024-03-01,Standard
235,Emma,Schulz,emma.schulz235@example.com,Munich,Germany,2023-06-16,Standard
236,Leon,Meyer,leon.meyer236@example.com,Munich,Germany,2023-06-03,Premium
237,Anna,Klein,anna.klein237@example.com,Dresden,Germany,2025-07-11,Standard
238,Niklas,Schroeder,niklas.schroeder238@example.com,Berlin,Germany,2024-08-19,Standard
239,Leon,Hoffmann,leon.hoffmann239@example.com,Dresden,Germany,2024-08-02,Standard
240,Marie,Schneider,marie.schneider240@example.com,Duisburg,Germany,2024-04-23,Standard
241,Hannah,Zimmermann,hannah.zimmermann241@example.com,Duesseldorf,Germany,2024-02-10,Business
242,Paul,Schwarz,paul.schwarz242@example.com,Bremen,Germany,2024-04-05,Business
243,Mia,Schulz,mia.schulz243@example.com,Hamburg,Germany,2023-10-19,Business
244,Max,Meyer,max.meyer244@example.com,Essen,Germany,2024-09-21,Standard
245,Tom,Zimmermann,tom.zimmermann245@example.com,Leipzig,Germany,2024-08-14,Standard
246,Paul,Wolf,paul.wolf246@example.com,Dresden,Germany,2024-09-14,Business
247,Laura,Schulz,laura.schulz247@example.com,Dortmund,Germany,2025-10-21,Standard
248,Tim,Wolf,tim.wolf248@example.com,Essen,Germany,2023-06-14,Business
249,Max,Klein,max.klein249@example.com,Essen,Germany,2024-10-22,Business
250,Hannah,Mueller,hannah.mueller250@example.com,Cologne,Germany,2023-07-07,Premium
251,David,Zimmermann,david.zimmermann251@example.com,Hanover,Germany,2023-02-12,Standard
252,David,Schulz,david.schulz252@example.com,Hanover,Germany,2023-03-24,Standard
253,Clara,Meyer,clara.meyer253@example.com,Dortmund,Germany,2025-08-21,Premium
254,Lea,Wolf,lea.wolf254@example.com,Munich,Germany,2024-07-23,Standard
255,Sarah,Klein,sarah.klein255@example.com,Hamburg,Germany,2025-10-04,Standard
256,Tim,Bauer,tim.bauer256@example.com,Stuttgart,Germany,2025-04-16,Standard
257,Sophie,Fischer,sophie.fischer257@example.com,Stuttgart,Germany,2023-11-26,Business
258,Jonas,Schroeder,jonas.schroeder258@example.com,Bremen,Germany,2024-08-13,Premium
259,Laura,Schwarz,laura.schwarz259@example.com,Leipzig,Germany,2023-03-17,Standard
260,Lena,Koch,lena.koch260@example.com,Stuttgart,Germany,2024-05-31,Standard
261,Paul,Richter,paul.richter261@example.com,Nuremberg,Germany,2025-11-19,Standard
262,Anna,Schwarz,anna.schwarz262@example.com,Duesseldorf,Germany,2025-08-04,Business
263,Max,Wagner,max.wagner263@example.com,Stuttgart,Germany,2025-11-27,Standard
264,Niklas,Schroeder,niklas.schroeder264@example.com,Hanover,Germany,2025-06-24,Standard
265,Max,Wagner,max.wagner265@example.com,Dortmund,Germany,2024-06-30,Premium
266,Mia,Hoffmann,mia.hoffmann266@example.com,Duisburg,Germany,2025-06-16,Premium
267,Nina,Schroeder,nina.schroeder267@example.com,Berlin,Germany,2023-09-06,Premium
268,Lea,Braun,lea.braun268@example.com,Dresden,Germany,2024-05-05,Premium
269,Ben,Hoffmann,ben.hoffmann269@example.com,Dortmund,Germany,2023-01-29,Standard
270,Jonas,Schneider,jonas.schneider270@example.com,Nuremberg,Germany,2024-04-05,Standard
271,Paul,Wolf,paul.wolf271@example.com,Bremen,Germany,2023-08-29,Premium
272,Mia,Schroeder,mia.schroeder272@example.com,Dortmund,Germany,2024-08-20,Premium
273,Nina,Schulz,nina.schulz273@example.com,Nuremberg,Germany,2025-04-30,Premium
274,Tim,Schroeder,tim.schroeder274@example.com,Leipzig,Germany,2024-05-14,Business
275,Finn,Weber,finn.weber275@example.com,Cologne,Germany,2025-02-24,Standard
276,Niklas,Neumann,niklas.neumann276@example.com,Nuremberg,Germany,2023-10-07,Standard
277,Lena,Schulz,lena.schulz277@example.com,Stuttgart,Germany,2025-04-29,Premium
278,Julia,Schulz,julia.schulz278@example.com,Frankfurt,Germany,2023-01-06,Standard
279,Tom,Hoffmann,tom.hoffmann279@example.com,Nuremberg,Germany,2025-09-29,Premium
280,Mia,Wolf,mia.wolf280@example.com,Stuttgart,Germany,2025-09-18,Premium
281,Sophie,Schwarz,sophie.schwarz281@example.com,Leipzig,Germany,2025-02-11,Premium
282,Sophie,Wagner,sophie.wagner282@example.com,Essen,Germany,2024-05-04,Standard
283,Laura,Becker,laura.becker283@example.com,Berlin,Germany,2025-04-21,Standard
284,Sophie,Schroeder,sophie.schroeder284@example.com,Duesseldorf,Germany,2025-02-19,Standard
285,David,Weber,david.weber285@example.com,Berlin,Germany,2025-10-11,Standard
286,Mia,Neumann,mia.neumann286@example.com,Nuremberg,Germany,2024-11-10,Standard
287,Paul,Wolf,paul.wolf287@example.com,Dortmund,Germany,2023-07-24,Standard
288,Marie,Mueller,marie.mueller288@example.com,Duesseldorf,Germany,2023-10-23,Standard
289,Lea,Weber,lea.weber289@example.com,Leipzig,Germany,2023-06-03,Standard
290,Hannah,Koch,hannah.koch290@example.com,Bremen,Germany,2025-03-25,Standard
291,Lena,Koch,lena.koch291@example.com,Duesseldorf,Germany,2025-12-28,Standard
292,Sophie,Schroeder,sophie.schroeder292@example.com,Essen,Germany,2023-03-15,Standard
293,Lena,Becker,lena.becker293@example.com,Cologne,Germany,2024-08-11,Premium
294,Tom,Schneider,tom.schneider294@example.com,Hamburg,Germany,2025-06-07,Standard
295,Clara,Fischer,clara.fischer295@example.com,Munich,Germany,2025-06-27,Standard
296,Nina,Hoffmann,nina.hoffmann296@example.com,Berlin,Germany,2023-03-01,Standard
297,Sophie,Schmidt,sophie.schmidt297@example.com,Stuttgart,Germany,2024-08-23,Premium
298,Felix,Klein,felix.klein298@example.com,Cologne,Germany,2023-10-26,Standard
299,Julia,Klein,julia.klein299@example.com,Munich,Germany,2024-01-04,Standard
300,Ben,Schneider,ben.schneider300@example.com,Essen,Germany,2025-02-22,Standard
301,David,Becker,david.becker301@example.com,Duisburg,Germany,2025-10-16,Standard
302,Sarah,Weber,sarah.weber302@example.com,Leipzig,Germany,2024-04-20,Standard
303,Lea,Schulz,lea.schulz303@example.com,Frankfurt,Germany,2025-07-30,Standard
304,David,Mueller,david.mueller304@example.com,Duisburg,Germany,2025-08-10,Standard
305,Lukas,Schwarz,lukas.schwarz305@example.com,Hamburg,Germany,2023-11-20,Premium
306,Marie,Bauer,marie.bauer306@example.com,Bremen,Germany,2024-09-04,Business
307,Jonas,Schulz,jonas.schulz307@example.com,Nuremberg,Germany,2025-07-24,Standard
308,Lukas,Wagner,lukas.wagner308@example.com,Nuremberg,Germany,2025-02-26,Standard
309,Tim,Fischer,tim.fischer309@example.com,Duesseldorf,Germany,2024-04-30,Premium
310,Sarah,Bauer,sarah.bauer310@example.com,Dresden,Germany,2024-08-28,Standard
311,Lukas,Mueller,lukas.mueller311@example.com,Frankfurt,Germany,2025-03-21,Standard
312,Anna,Zimmermann,anna.zimmermann312@example.com,Duisburg,Germany,2023-04-11,Standard
313,Niklas,Schroeder,niklas.schroeder313@example.com,Hanover,Germany,2024-08-09,Standard
314,Leon,Braun,leon.braun314@example.com,Cologne,Germany,2024-12-22,Business
315,Lea,Wagner,lea.wagner315@example.com,Bremen,Germany,2024-05-28,Premium
316,Clara,Weber,clara.weber316@example.com,Duisburg,Germany,2023-07-18,Premium
